directory,directory_type,county,state,municipality,municipality_type,query_keyword,candidate_query_url,sweep_priority,current_status,extracted_rows_currently_available,known_total_if_available,use_case,publication_rule,notes
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.chamberofcommerce.com/search?what=&where=Ute+Park+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.bbb.org/search?find_country=USA&find_text=Ute+Park+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.tripadvisor.com/Search?q=Ute+Park+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.yelp.com/search?find_desc=&find_loc=Ute+Park+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.google.com/search?q=Ute+Park+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://maps.apple.com/?q=Ute+Park+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Ute Park,unincorporated community,Ute Park NM,https://www.bing.com/maps?q=Ute+Park+NM+businesses,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.yellowpages.com/miami-nm/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.yellowpagesdirectory.com/search?q=Miami+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.manta.com/search?search=Miami+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.merchantcircle.com/search?q=Miami+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.cylex.us.com/search/?q=Miami+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.hotfrog.com/search/miami-nm,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.brownbook.net/businesses/search?query=Miami+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.chamberofcommerce.com/search?what=&where=Miami+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.bbb.org/search?find_country=USA&find_text=Miami+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.tripadvisor.com/Search?q=Miami+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.yelp.com/search?find_desc=&find_loc=Miami+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.google.com/search?q=Miami+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Miami,unincorporated community,Miami NM,https://maps.apple.com/?q=Miami+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Miami,unincorporated community,Miami NM,https://www.bing.com/maps?q=Miami+NM+businesses,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.yellowpages.com/folsom-nm/business-listings/1,2,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.yellowpagesdirectory.com/search?q=Folsom+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.manta.com/search?search=Folsom+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.merchantcircle.com/search?q=Folsom+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.cylex.us.com/search/?q=Folsom+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.hotfrog.com/search/folsom-nm,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.brownbook.net/businesses/search?query=Folsom+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.chamberofcommerce.com/search?what=&where=Folsom+NM,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.bbb.org/search?find_country=USA&find_text=Folsom+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.tripadvisor.com/Search?q=Folsom+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.yelp.com/search?find_desc=&find_loc=Folsom+NM,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.google.com/search?q=Folsom+NM+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://maps.apple.com/?q=Folsom+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Folsom,unincorporated community,Folsom NM,https://www.bing.com/maps?q=Folsom+NM+businesses,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.yellowpages.com/vermejo-park-nm/business-listings/1,3,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.yellowpagesdirectory.com/search?q=Vermejo+Park+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.manta.com/search?search=Vermejo+Park+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.merchantcircle.com/search?q=Vermejo+Park+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.cylex.us.com/search/?q=Vermejo+Park+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.hotfrog.com/search/vermejo-park-nm,5,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.brownbook.net/businesses/search?query=Vermejo+Park+NM,5,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.chamberofcommerce.com/search?what=&where=Vermejo+Park+NM,4,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.bbb.org/search?find_country=USA&find_text=Vermejo+Park+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.tripadvisor.com/Search?q=Vermejo+Park+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.yelp.com/search?find_desc=&find_loc=Vermejo+Park+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.google.com/search?q=Vermejo+Park+NM+businesses,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://maps.apple.com/?q=Vermejo+Park+NM,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Colfax,NM,Vermejo Park,unincorporated / ranch-area community,Vermejo Park NM,https://www.bing.com/maps?q=Vermejo+Park+NM+businesses,5,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.yellowpages.com/trinidad-co/business-listings/1,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,196,624,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.yellowpagesdirectory.com/search?q=Trinidad+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.manta.com/search?search=Trinidad+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.merchantcircle.com/search?q=Trinidad+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.cylex.us.com/search/?q=Trinidad+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.hotfrog.com/search/trinidad-co,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.brownbook.net/businesses/search?query=Trinidad+CO,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.chamberofcommerce.com/search?what=&where=Trinidad+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.bbb.org/search?find_country=USA&find_text=Trinidad+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.tripadvisor.com/Search?q=Trinidad+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.yelp.com/search?find_desc=&find_loc=Trinidad+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.google.com/search?q=Trinidad+CO+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://maps.apple.com/?q=Trinidad+CO,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Las Animas,CO,Trinidad,incorporated city,Trinidad CO,https://www.bing.com/maps?q=Trinidad+CO+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.yellowpages.com/aguilar-co,1,yp_bulk_page_extracted_partial_remaining_pages_or_rows,9,unknown from city page only,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.yellowpagesdirectory.com/search?q=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.manta.com/search?search=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.merchantcircle.com/search?q=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.cylex.us.com/search/?q=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.hotfrog.com/search/aguilar-co,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.brownbook.net/businesses/search?query=Aguilar+CO,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.chamberofcommerce.com/search?what=&where=Aguilar+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.bbb.org/search?find_country=USA&find_text=Aguilar+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.tripadvisor.com/Search?q=Aguilar+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.yelp.com/search?find_desc=&find_loc=Aguilar+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.google.com/search?q=Aguilar+CO+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://maps.apple.com/?q=Aguilar+CO,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Las Animas,CO,Aguilar,incorporated town,Aguilar CO,https://www.bing.com/maps?q=Aguilar+CO+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.yellowpages.com/branson-co/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
YellowPagesDirectory.com,large commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.yellowpagesdirectory.com/search?q=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
Manta,large commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.manta.com/search?search=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; web search did not surface stable city URLs here
MerchantCircle,small business directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.merchantcircle.com/search?q=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; may expose stale local business rows
Cylex,commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.cylex.us.com/search/?q=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for older local records
Hotfrog,commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.hotfrog.com/search/branson-co,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
Brownbook,commercial directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.brownbook.net/businesses/search?query=Branson+CO,3,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",search/manual verification required; useful for lead discovery
ChamberofCommerce.com,commercial chamber-style directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.chamberofcommerce.com/search?what=&where=Branson+CO,2,queued,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",direct city pages may return paywall/402 in this environment
BBB,reputation/accreditation directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.bbb.org/search?find_country=USA&find_text=Branson+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.","best for verification, not broad bulk discovery"
Tripadvisor,visitor-facing review directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.tripadvisor.com/Search?q=Branson+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",best for lodging/food/attractions verification; bulk extraction unreliable here
Yelp,review directory,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.yelp.com/search?find_desc=&find_loc=Branson+CO,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual/API verification only in this environment
Google Business Profile / Maps,map/business listing layer,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.google.com/search?q=Branson+CO+businesses,3,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only; do not scrape personal/private data
Apple Maps / Apple Business Connect,map/business listing layer,Las Animas,CO,Branson,incorporated town,Branson CO,https://maps.apple.com/?q=Branson+CO,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
Bing Places / Bing Maps,map/business listing layer,Las Animas,CO,Branson,incorporated town,Branson CO,https://www.bing.com/maps?q=Branson+CO+businesses,4,queued,,,verification / spot check,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",manual verification only
YellowPages.com,large commercial directory,Las Animas,CO,Cokedale,incorporated town,Cokedale CO,https://www.yellowpages.com/cokedale-co/business-listings/1,1,queued_for_yp_bulk_or_city_page_check,,,lead discovery,"Commercial-directory-only rows must remain needs_verification until confirmed by official, business-owned, chamber, tourism, or current public source.",usable here for some city bulk pages; already extracted where accessible
