business_name,city,county,state,category,physical_flyer_likelihood,outreach_priority_score,recommended_outreach_action,corporate_policy_risk,public_foot_traffic,digital_distribution_likelihood,review_reason,end_user_warning,municipality_scope,physical_address,phone,website,source_url,source_type,source_scope,verification_status,import_recommendation,notes,deploy_crosscheck,deploy_match_name,deploy_match_id
Continental Loans,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Colfax County Juvenile Probation,Raton,Colfax,NM,unspecified,Community-public: formal permission,4,"Ask about official community bulletin, calendar, lobby board, or partner-share rules.",Low corporate risk / public-process risk,Medium,Medium,"Public/civic institution or chamber/tourism-like entity; useful for community distribution, but approval process may be formal.",Do not treat as normal business; verify public posting policy.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
A Cut Above,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
"Johnson, Christopher, DO",Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
WIC State Agency,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Mulligan's,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Magistrate Court,Raton,Colfax,NM,unspecified,Community-public: formal permission,4,"Ask about official community bulletin, calendar, lobby board, or partner-share rules.",Low corporate risk / public-process risk,Medium,Medium,"Public/civic institution or chamber/tourism-like entity; useful for community distribution, but approval process may be formal.",Do not treat as normal business; verify public posting policy.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Sonic Drive-In,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Miners Long-Term Care Facility,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Mesa Pharmacy,Raton,Colfax,NM,unspecified,Medium: ask manager,4,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Mesa Pharmacy,mesa-pharmacy-colfax-healthcare-pharmacy
Raton Seventh-Day Adventist,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Raton Public Service Co,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Stakeout Dining Club,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Family Worship Center,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
H&R Block,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Realty One of Santa Fe,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Lyn's Hair Design,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Lyn's Hair Design,lyn-s-hair-design-colfax-personal-services
Express Aviation Services,Raton,Colfax,NM,unspecified,Medium: ask manager,3,"Ask manager for counter stack, lobby board, staff referral, or digital share if event fits customers.",Low,Medium,Low,"Public-facing or locally useful business, but flyer permission depends on management and fit.",Review for audience fit before directing users here.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Engineering Analytics Inc,Raton,Colfax,NM,unspecified,Low: not a flyer-first stop,1,"Use only for direct partnership, sponsorship, board/client referral, or professional-network outreach.",Medium,Low,Low,"Professional, medical, industrial, utility, or appointment-based business; physical flyer posting is less likely or less useful.",Do not prioritize for public flyer distribution.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
UPS Authorized Shipping Provider,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Martin Financial Advisers,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Allegiant Electric,Raton,Colfax,NM,unspecified,Low: not a flyer-first stop,1,"Use only for direct partnership, sponsorship, board/client referral, or professional-network outreach.",Medium,Low,Low,"Professional, medical, industrial, utility, or appointment-based business; physical flyer posting is less likely or less useful.",Do not prioritize for public flyer distribution.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Raton Animal Shelter,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
"Dr. Monty Milton McGowen, DC",Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Holy Trinity Episcopal Church,Raton,Colfax,NM,unspecified,Medium: mission-fit permission,3,"Ask office/admin about community bulletin board, newsletter, or event alignment.",Low,Medium,Medium,Faith/community locations may share mission-aligned flyers but are not general advertising boards.,Use for mission/community-aligned asks only; confirm permission.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
New Mexico State Government Courts,Raton,Colfax,NM,unspecified,Community-public: formal permission,4,"Ask about official community bulletin, calendar, lobby board, or partner-share rules.",Low corporate risk / public-process risk,Medium,Medium,"Public/civic institution or chamber/tourism-like entity; useful for community distribution, but approval process may be formal.",Do not treat as normal business; verify public posting policy.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
MCB Computers,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Raton High School,Raton,Colfax,NM,unspecified,Community-public: formal permission,4,"Ask about official community bulletin, calendar, lobby board, or partner-share rules.",Low corporate risk / public-process risk,Medium,Medium,"Public/civic institution or chamber/tourism-like entity; useful for community distribution, but approval process may be formal.",Do not treat as normal business; verify public posting policy.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Amtrak,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Chevron,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,1,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,Medium,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
George & Gonzales Cpa's,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Game & Fish Department,Raton,Colfax,NM,unspecified,Community-public: formal permission,4,"Ask about official community bulletin, calendar, lobby board, or partner-share rules.",Low corporate risk / public-process risk,Medium,Medium,"Public/civic institution or chamber/tourism-like entity; useful for community distribution, but approval process may be formal.",Do not treat as normal business; verify public posting policy.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
El Mirador,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
High Desert Outdoors Inc,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
"Dr. Juli Valliere, MD",Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
First National Loan Production Office,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Microtel Inn & Suites by Wyndham Raton,Raton,Colfax,NM,unspecified,Low: corporate/franchise restrictions likely,2,Do not assume flyers allowed. Ask local manager only for community-board exception or donation/sponsorship route.,High,High,Low,Name appears to be chain/franchise/corporate; outside advertising is often restricted by brand or store policy.,Avoid directing users here as a likely flyer stop unless a local board is verified.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",present_exact_name_city,Microtel Inn & Suites by Wyndham Raton,microtel-inn-suites-by-wyndham-raton-colfax-lodging
Realty One of Nm,Raton,Colfax,NM,unspecified,Unknown: needs local check,2,Call or visit once to confirm whether the location is public-facing and accepts community materials.,Unknown,Unknown,Unknown,Local business listing from available listing; Commercial directory page lacks enough detail.,Verify before using as an outreach recommendation.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
K S Berry Engineering,Raton,Colfax,NM,unspecified,Low: not a flyer-first stop,1,"Use only for direct partnership, sponsorship, board/client referral, or professional-network outreach.",Medium,Low,Low,"Professional, medical, industrial, utility, or appointment-based business; physical flyer posting is less likely or less useful.",Do not prioritize for public flyer distribution.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
Records Rental & Shop,Raton,Colfax,NM,unspecified,High: likely local flyer-friendly,5,"Ask owner/manager to post flyer near entrance/register, leave small stack, or share digital event graphic.",Low,High,Medium,Public-facing local business type with regular foot traffic and likely community-event relevance.,Good outreach candidate; still confirm before posting or leaving materials.,Raton,not extracted in bulk page,not extracted in bulk page,not extracted in bulk page,https://www.yellowpages.com/raton-nm/business-listings/1,YellowPages.com bulk listing page,Raton bulk listings page 1: visible 1-200 of 271,commercial_directory_unverified,review before publishing; use as lead/listing review row,"Extracted from public YellowPages city/business-listings page visible in web result. Bulk pages often include duplicates, chains, government offices, schools, churches, public entities, and outdated records.",not_found_in_latest_deploy_by_exact_name,,
