listing_name,category,subcategory,town_area,county,state,source_name,source_type,source_url,listing_url,website,phone,email,address,description,extraction_method,source_status,verification_note,date_checked
Monte Verde RV Park & Campground,Accommodations/Lodging; All tourism directory listings; RV Parks & Campgrounds,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/accommodations-lodging/; https://angelfirechamber.org/business/category/campgrounds-rv-parks/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4,https://angelfirechamber.org/business/monte-verde-rv-park-campground/; https://visitangelfirenm.com/listing/monte-verde-rv-park-campground/,https://angelfirechamber.org/business/monte-verde-rv-park-campground/,,,"3521 Highway 434, Angel Fire, NM 87710","RV Park, Campground, vacation rentals, Bed & Breakfast, Propane Filing Located within the village limits of Angel Fire, we are the closest RV park to the Angel Fire Resort: 2.3 miles from the lifts, 4 miles from the golf course & fitness center and 1.5 miles from the Village of Angel Fire center. The Monte Verde RV Park and Campground Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Morning Star Restaurant,All tourism directory listings; Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/dining/; https://angelfirechamber.org/business/category/restaurants/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://angelfirechamber.org/business/morning-star-restaurant/; https://visitangelfirenm.com/listing/morning-star-restaurant/,https://angelfirechamber.org/business/morning-star-restaurant/,,,"3377 Mountain View Blvd,, Angel Fire, NM","Located in the Elk Horn Lodge, The Morning Star Restaurant specializes in healthy food, daily specials, plus burgers and Mexican food and P-I-E-S!!. Serving a full breakfast too! Dine in or take-out. Come as a guest, leave as a friend! Plus every Tuesday night we have Bible Study. It starts with a free meal at 5:30pm! Join us. Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Mountain Serenity Rentals,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4,https://visitangelfirenm.com/listing/mountain-serenity-rentals/,,,,"393 Via del Rey, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Mountain Sports of Angel Fire,All tourism directory listings; Shopping; Ski & Snowboard Rentals; Specialty Retail Shops; Sports Equipment (Sales & Rentals),,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/ski-snowboard-rentals/; https://angelfirechamber.org/business/category/specialty-shops; https://angelfirechamber.org/business/category/sports-equipment-rentals/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://angelfirechamber.org/business/mountain-sports-of-angel-fire/; https://visitangelfirenm.com/listing/mountain-sports-of-angel-fire/,https://angelfirechamber.org/business/mountain-sports-of-angel-fire/,,,"3375 Mountain View Blvd,, Angel Fire, NM 87710","Mountain Sports of Angel Fire is your most complete sporting goods store in the Moreno Valley, open year round (we close only for Easter and Thanksgiving Day). We offer Camping Gear, Clothing, Footwear, Fishing Gear, Golf, Pickleball, Tennis, Skis, Snowboards, and Winter Outerwear. We are also a full rental shop with: Rental Skis, Snowboards, Mountain Bikes, Golf and Tennis. Mountain Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Mountain Supply True Value,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/mountain-supply-true-value/,,,,"3429 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Mountain View Event Center,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4,https://visitangelfirenm.com/listing/mountain-view-event-center/,,,,"380 Fuego St,, Angel Fire NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Music from Angel Fire,All tourism directory listings; Entertainment/Musicians,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/entertainment-music/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4,https://angelfirechamber.org/business/music-from-angel-fire/; https://visitangelfirenm.com/listing/music-from-angel-fire/,https://angelfirechamber.org/business/music-from-angel-fire/,,,"3382 Mountain View Blvd, Suite C, Angel Fire, New Mexico 87710","Discover the best kept secret in the Northern New Mexico chamber music scene. Music from Angel Fire is the premier summer music festival of the Rockies with world-class musicians, settings and programming. Music from Angel Fire 2025 August 14th – 28th Will you support Music from Angel Fire’s 42nd Season? Donate Here: https://musicfromangelfire.org/support/donations-and-gifts/ On behalf of the Music from Angel Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
New Mexico River Adventures,Activities/Recreation,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/activities-recreation/,https://angelfirechamber.org/business/new-mexico-river-adventures/,https://angelfirechamber.org/business/new-mexico-river-adventures/,,,,"Rafting, Kayaking, Stand Up Paddle Boarding and Rock Climbing Outfitter. A full service Tour Company able to handle all of your recreation needs in New Mexico. We are the only outfitter with a full service Headquarters where our trips start and finish. The best Guides in the area that are sure to help you make memories to last a lifetime! Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
North Country Real Estate,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4,https://visitangelfirenm.com/listing/north-country-real-estate/,,,,"15 Halo Pine Terrace,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Nuckolls Brewing Co.,Breweries; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/breweries/; https://angelfirechamber.org/business/category/restaurants/,https://angelfirechamber.org/business/nuckolls-brewing-company/,https://angelfirechamber.org/business/nuckolls-brewing-company/,,,,"Nuckolls Brewing Co. in Angel Fire is open Thursday: noon-8pm Friday : noon-8pm Saturday: noon- 8pm Sunday: 10am – 6pm (brunch and mimosas Sundays ) With existing locations in Santa Fe and Lamy, Nuckolls features award-winning beers produced with a focus on sustainability. Nuckolls donates its spent grain to local ranchers for livestock feed, and uses blue corn from the Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Off Grid Grow Co. Dispensary,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/off-grid-grow-co-dispensary/,,,,"11 Halo Pine Terrace,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Olympic Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4,https://visitangelfirenm.com/listing/olympic-park/,,,,"San Mateo Drive &, Country Club Dr,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
One People’s Kitchen,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/one-peoples-kitchen/,,,,"3453 Mountain View BLVD. Unit 1, Angel Fire, New Mexico 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Par & Grill,All tourism directory listings; Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/dining/; https://angelfirechamber.org/business/category/restaurants/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=4; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://angelfirechamber.org/business/par-grill/; https://visitangelfirenm.com/listing/par-grill/,https://angelfirechamber.org/business/par-grill/,,,"100 Country Club Dr,, Angel Fire, NM 87710","8:00 am to 4:00 pm daily during the summer golf season only. Located next to the golf pro shop at the Angel Fire Resort Country Club & Golf Course. Breakfast, lunch, snacks and full service bar. Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Pine & Peak Home Decor,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/pine-peak-home-decor/,,,,"3400A2, Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Pizza Stop,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/pizza-stop/,,,,"52 N Angel Fire Rd #1,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Ponce de Leon Creations,All tourism directory listings; Gift Shops; Handcrafted Jewelry; Shopping; Specialty Retail Shops,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/gift-shops/; https://angelfirechamber.org/business/category/handcrafted-jewelry; https://angelfirechamber.org/business/category/specialty-shops; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/shopping/; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=1,https://angelfirechamber.org/business/ponce-de-leon-creations/; https://visitangelfirenm.com/listing/ponce-de-leon-creations/,https://angelfirechamber.org/business/ponce-de-leon-creations/,,,"3375 Mountain View Blvd unit #G2, Angel Fire, NM, USA","Unveiling the Beauty of Handcrafted Jewelry Welcome to Ponce de Leon Creations, a family-owned and operated jewelry studio nestled in the enchanting landscapes of Northern New Mexico. Established with a passion for crafting timeless treasures, we specialize in creating handmade jewelry that celebrates the unique allure of the finest Turquoise sourced from around the world. Our journey began with a Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Pub and Grub,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/pub-and-grub/,,,,"52 N Angel Fire Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Pub n’grub,Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/dining/; https://angelfirechamber.org/business/category/restaurants/,https://angelfirechamber.org/business/pub-ngrub/,https://angelfirechamber.org/business/pub-ngrub/,,,,"Comfy spot for beer, wine, and casual eats such as chicken-fried steak, taco plates or coconut shrimp. Variety of beers on tap. Family friendly! We are on the second floor, on Angel Fire’s main street and have outdoor deck seating, weather permitting. Open Mic Night every Monday at 7:00pm – MADCAT Karaoke Friday’s at 8:00pm – and Live Music on Saturdays Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Purple Sage Studio,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/purple-sage-studio/,,,,"12 Crestview Dr, Suite 6-S, Angel Fire, New Mexico 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
RE/MAX Mountain Realty,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/re-max-mountain-realty/,,,,"3655 Mountain View Blvd, Hwy434,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Resort Properties of Angel Fire,Accommodations/Lodging; All tourism directory listings; Vacation Rentals/Short & Long Term,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/accommodations-lodging/; https://angelfirechamber.org/business/category/vacation-rentals-short-and-long-term/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://angelfirechamber.org/business/resort-properties-of-angel-fire/; https://visitangelfirenm.com/listing/resort-properties-of-angel-fire/,https://angelfirechamber.org/business/resort-properties-of-angel-fire/,,,"3407 Mountain View Blvd, Unit 11, Box 829, Angel Fire, New Mexico 87710","Resort Properties of Angel Fire is your premier source for vacation rentals and property management in Angel Fire! We are committed to taking the experience for both property owners and guests to the next level. We offer a variety of lodging options, from cozy studios and condos to grand mountain homes, and everything in between. Our properties are spread across Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
RidgeWalk Treehouse,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/ridgewalk-treehouse/,,,,"42 Calle de los Caballeros Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Rio Grande Balloons,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/rio-grande-balloons/,,,,"94 NM-150, Suite 5A, El Prado, New Mexico 87529",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Roadrunner Tours,Activities/Recreation; All tourism directory listings,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/activities-recreation/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://angelfirechamber.org/business/road-runner-tours-ltd/; https://visitangelfirenm.com/listing/roadrunner-tours/,https://angelfirechamber.org/business/road-runner-tours-ltd/,,,"27502 US-64,, Angel Fire, NM 87710","Year-round horseback riding tours to accommodate all — from the novice to the experienced, from half-hour to overnight. Breakfast, lunch and dinner rides. Lessons. Enjoy scenic summer horse-drawn wagon rides and winter sleigh rides along snow-covered trails. Horseback trail rides, wagon rides with campfire dinners, overnight pack trips, coach rides, wedding carriages for special occasions. Located at 27501 Hwy 64 outside Read more...",browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Rockies Market,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/rockies-market/,,,,"3394 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Santa Fe Party Rentals,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/santa-fe-party-rentals/,,,,"1006 Cordova Pl. Santa Fe, NM 87505",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
The Shuter Library of Angel Fire,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6,https://visitangelfirenm.com/listing/the-shuter-library-of-angel-fire/,,,,"11 S Angel Fire Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Sierra Bonita Cabins & RV Park,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/sierra-bonita-cabins-rv-park/,,,,"P. O. Box 333, Hwy 434 - Mile Marker 17.5, Guadalupita, NM 87722-0333",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Slope Side Sports,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/slope-side-sports/,,,,"9 N Angel Fire Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Smoke Rings BBQ,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=5,https://visitangelfirenm.com/listing/smoke-rings-bbq/,,,,"3367 Mountain View Blvd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
"Snowball Lodge, LLC",Accommodations/Lodging; Hotels/Motels & Lodges; Vacation Rentals/Short & Long Term,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/accommodations-lodging/; https://angelfirechamber.org/business/category/hotels-motels-lodges/; https://angelfirechamber.org/business/category/vacation-rentals-short-and-long-term/,https://angelfirechamber.org/business/snowball-lodge-llc/,https://angelfirechamber.org/business/snowball-lodge-llc/,,,,"Seven bedroom home that sleeps 20-45 people. Fully equipped kitchen, laundry facilities, wood stove, handicap accessible. Close to slopes. Located on Valley Road close to the Angel Fire Community Center. Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Snowblaze Ski Shop,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/snowblaze-ski-shop/,,,,"14 5 Springs Rd,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Snowfish Ski & Outdoor formerly Cottam’s of Angel Fire,Ski & Snowboard Rentals; Sports Equipment (Sales & Rentals),,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/ski-snowboard-rentals/; https://angelfirechamber.org/business/category/sports-equipment-rentals/,https://angelfirechamber.org/business/cottams-of-angel-fire/,https://angelfirechamber.org/business/cottams-of-angel-fire/,,,,"Full Service Ski Shop during the winter season. Bike Rentals, Fishing Gear and Fishing Licenses during the summer season. Year Round Retail: T-shirts, Clothing, and Gift Items. For over twenty years we have been located located at 40 North Angel Fire Rd, but we are extremely excited to be move into our new location! Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Southern Exposure Photography,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6,https://visitangelfirenm.com/listing/southern-exposure-photography/,,,,,,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Subway,Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/dining/; https://angelfirechamber.org/business/category/restaurants/,https://angelfirechamber.org/business/subway/,https://angelfirechamber.org/business/subway/,,,,"Located inside Lowe’s Valley Market, 3373 Mountain View Blvd., Angel Fire, NM Open daily year round 7:30 am to 10:00 pm. Made to order fresh sandwiches, breakfast sandwiches, salads and more. Homemade signature cookies. Read more...",chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Subway – Lowe’s Pay & Save,All tourism directory listings; Dining,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://visitangelfirenm.com/listing/subway-lowes-pay-save/,,,,"3373 Highway 434, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Summit Haus,All tourism directory listings; Dining; Restaurants,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses; Visit Angel Fire - All Listings; Visit Angel Fire - Dining,Chamber business directory; Official tourism directory,https://angelfirechamber.org/business/category/dining/; https://angelfirechamber.org/business/category/restaurants/; https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6; https://visitangelfirenm.com/dining/; https://visitangelfirenm.com/dining/?_listing_directory_pagination=1,https://angelfirechamber.org/business/summit-haus/; https://visitangelfirenm.com/listing/summit-haus/,https://angelfirechamber.org/business/summit-haus/,,,"36°22'34.0""N 105°14'12.6""W, Angel Fire, New Mexico",Located at the top of the Chile Express chairlift with world-class views all the way to Eagle Nest Lake and beyond into Colorado. Serving smoked BBQ favorites indoor and grilled burgers and sandwiches outdoors (weather permitting). Open only when the ski lift is running: 10:00am to 3:00pm on those days. Read more...,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Sweet Shirt Co,All tourism directory listings; Shopping,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings; Visit Angel Fire - Shopping,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6; https://visitangelfirenm.com/shopping/?_listing_directory_pagination=2,https://visitangelfirenm.com/listing/sweet-shirt-co/,,,,"3400A NM-434,, Angel Fire, NM 87710",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Taos Community Foundation,All tourism directory listings,,Angel Fire,Colfax,NM,Visit Angel Fire - All Listings,Official tourism directory,https://visitangelfirenm.com/all-listings/?_listing_directory_pagination=6,https://visitangelfirenm.com/listing/taos-community-foundation/,,,,"115 La Posta Road, Suite A, Taos, New Mexico 87571",,browser-rendered tourism directory card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
Taos Lifestyle,Home Furnishings & Decor; Specialty Retail Shops,,Angel Fire,Colfax,NM,Angel Fire Chamber - Member Businesses,Chamber business directory,https://angelfirechamber.org/business/category/home-furnishings-decor/; https://angelfirechamber.org/business/category/specialty-shops,https://angelfirechamber.org/business/taos-lifestyle/,https://angelfirechamber.org/business/taos-lifestyle/,,,,“Furnish your Life!” We provide a full line of mattresses and furniture. Want to sleep well? We have the largest selection of pillows and bedding available in North Eastern New Mexico! All of this at competitive prices. Read more...,chamber GeoDirectory category card,Official source checked,"Listing merged across public travel/vacation guide sources. Verify current details with the source or listing owner before outreach, publication, printing, or promising placement.",2026-06-30
